title	DOI	url	issns	journal	authors	issns1	issns2	published_on	last_updated	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_gplus_count	cited_by_msm_count	cited_by_posts_count	cited_by_rdts_count	cited_by_tweeters_count	cited_by_videos_count	cited_by_accounts_count	cited_by_patents_count	mendeley	altmetric_score	is_oa	author.names	issn	citations	CiteScore	SJR	WebQualis
A Pilates exercise program with pelvic floor muscle contraction: Is it effective for pregnant women? A randomized controlled trial	10.1002/nau.23308	http://dx.doi.org/10.1002/nau.23308	0733-2467	Neurourology and Urodynamics	Naiara T. Dias			2017	1569656981	0	0	0	0	1	0	1	0	1	0	225	1	FALSE	Naiara T. Dias, Letícia R. Ferreira, Mariana G. Fernandes, Ana Paula M. Resende, Vanessa S. Pereira‐Baldon	0733-2467	15	4.5	0.683	A2
A Single Dose of Beetroot Juice Does Not Change Blood Pressure Response Mediated by Acute Aerobic Exercise in Hypertensive Postmenopausal Women	10.3390/nu11061327	http://dx.doi.org/10.3390/nu11061327	2072-6643	Nutrients	Ana Luiza Amaral			2019	1561239000	0	0	0	0	6	0	6	0	6	0	150	4	TRUE	Ana Luiza Amaral, Igor M. Mariano, Victor Hugo V. Carrijo, Tállita Cristina F. de Souza, Jaqueline P. Batista, Anne M. Mendonça, Adriele V. de Souza, Douglas C. Caixeta, Renata R. Teixeira, Foued S. Espindola, Erick P. de Oliveira, Guilherme M. Puga	2072-6643	16	9.0	1.301	A1
Adductor Pollicis Muscle Thickness and Obesity Are Associated with Poor Outcome after Stroke: A Cohort Study	10.1016/j.jstrokecerebrovasdis.2017.12.028	http://dx.doi.org/10.1016/j.jstrokecerebrovasdis.2017.12.028	1052-3057	Journal of Stroke & Cerebrovascular Diseases	Juli Thomaz de Souza			2018	1517936048	0	0	0	0	1	0	1	0	1	0	56	1	TRUE	Juli Thomaz de Souza, Marcos Ferreira Minicucci, Leonardo Antônio Mamede Zornoff, Bertha Furlan Polegato, Priscila Watson Ribeiro, Silméia Garcia Zanati Bazan, Gabriel Pereira Braga, Gustavo José Luvizutto, Sérgio Alberto Rupp de Paiva, Rodrigo Bazan, Paula Schmidt Azevedo	1052-3057	1	4.3	0.678	A4
Age-related alterations in the activation of trunk and lower limb muscles during walking	10.3233/bmr-150628	http://dx.doi.org/10.3233/bmr-150628	1053-8127	Journal of Back & Musculoskeletal Rehabilitation	Nise Ribeiro Marques			2016	1635426694	0	0	0	0	4	0	3	0	3	0	49	3	TRUE	Nise Ribeiro Marques, Camilla Zamfolini Hallal, Deborah Hebling Spinoso, Luciano Fernandez Crozara, Mary Hellen Morcelli, Aline Harumi Karuka, Marcelo Tavella Navega, Mauro Gonçalves	1053-8127	11	2.4	0.459	A4
Altered Visual and Proprioceptive Spatial Perception in Individuals with Parkinson’s Disease	10.1177/0031512519880421	http://dx.doi.org/10.1177/0031512519880421	0031-5125	Perceptual and Motor Skills	Gustavo José Luvizutto			2019	1589885816	0	0	0	0	3	0	3	0	3	0	44	1	TRUE	Gustavo José Luvizutto, Thanielle Souza Silva Brito, Eduardo de Moura Neto, Luciane Aparecida Pascucci Sande de Souza	0031-5125	6	2.8	0.557	B1
Ancient Observation of Spinal Cord Injury: The Case of the Assyrian Lion	10.1016/j.wneu.2018.05.083	http://dx.doi.org/10.1016/j.wneu.2018.05.083	1878-8750	World Neurosurgery	Gustavo J Luvizutto			2018	1666171192	0	0	0	0	3	0	3	0	3	0	17	2	TRUE	Gustavo J Luvizutto, Emerson G M Siqueira, Pedro Tadao Hamamoto Filho, Viviane H F Zétola, Marcos C Lange, Hélio A G Teive, Luiz A L Resende, Rodrigo Bazan	1878-8750	2	3.9	0.654	A3
Atividade física como fator de proteção para sintomas do climatério	10.12820/rbafs.27e0260	http://dx.doi.org/10.12820/rbafs.27e0260	1413-3482	Revista Brasileira de Atividade Física & Saúde	Juliene Gonçalves Costa			2022	1656363761	0	0	0	0	2	0	2	0	2	0	0	2	TRUE	Juliene Gonçalves Costa, Tállita Cristina Ferreira de Souza, Priscila Aline Dias, Priscila Missaki Nakamura, Guilherme Morais Puga	1413-3482	0	NA	NA	B2
Brazilian Academy of Neurology practice guidelines for stroke rehabilitation: part I	10.1590/0004-282x-anp-2021-0354	http://dx.doi.org/10.1590/0004-282x-anp-2021-0354	0004-282X	Arquivos de Neuro-Psiquiatria	Cesar Minelli			2022	1666158441	0	0	0	0	5	0	4	0	4	0	64	2	TRUE	Cesar Minelli, Rodrigo Bazan, Marco Túlio Araújo Pedatella, Luciana de Oliveira Neves, Roberta de Oliveira Cacho, Sheila Cristina Sayuri Abe Magalhães, Gustavo José Luvizutto, Carla Heloísa Cabral Moro, Marcos Christiano Lange, Gabriel Pinheiro Modolo, Bruna Correia Lopes, Elisandra Leites Pinheiro, Juli Thomaz de Souza, Guilherme Riccioppo Rodrigues, Soraia Ramos Cabette Fabio, Gilmar Fernandes do Prado, Karla Carlos, Juliana Junqueira Marques Teixeira, Clara Monteiro Antunes Barreira, Rodrigo de Souza Castro, Thalita Dayrell Leite Quinan, Eduardo Damasceno, Kelson James Almeida, Octávio Marques Pontes-Neto, Marina Teixeira Ramalho Pereira Dalio, Millene Rodrigues Camilo, Michelle Hyczy de Siqueira Tosin, Bianca Campos Oliveira, Beatriz Guitton Renaud Baptista de Oliveira, João José Freitas de Carvalho, Sheila Cristina Ouriques Martins	0004-282X	2	2.1	0.341	B2
Brazilian practice guidelines for stroke rehabilitation: Part II	10.1055/s-0042-1757692	http://dx.doi.org/10.1055/s-0042-1757692	0004-282X	Arquivos de Neuro-Psiquiatria	Cesar Minelli			2022	1667036933	0	0	0	0	11	0	11	0	11	0	109	6	TRUE	Cesar Minelli, Gustavo José Luvizutto, Roberta de Oliveira Cacho, Luciana de Oliveira Neves, Sheila Cristina Sayuri Abe Magalhães, Marco Túlio Araújo Pedatella, Lucia Iracema Zanotto de Mendonça, Karin Zazo Ortiz, Marcos Christiano Lange, Priscila Watson Ribeiro, Luciane Aparecida Pascucci Sande de Souza, Cristiano Milani, Daniel Marinho Cezar da Cruz, Rafael Dalle Molle da Costa, Adriana Bastos Conforto, Fernanda Martins Maia Carvalho, Bruna Silva Ciarlini, Norberto Anizio Ferreira Frota, Kelson James Almeida, Eliane Schochat, Tatiana de Paula Oliveira, Camila Miranda, Maria Elisa Pimentel Piemonte, Laura Cardia Gomes Lopes, Camila Galvão Lopes, Michelle Hyczy de Siqueira Tosin, Bianca Campos Oliveira, Beatriz Guitton Renaud Baptista de Oliveira, Shamyr Sulyvan de Castro, João Brainier Clares de Andrade, Gisele Sampaio Silva, Octávio Marques Pontes-Neto, João José Freitas de Carvalho, Sheila C. Ouriques Martins, Rodrigo Bazan	0004-282X	7	2.1	0.341	B2
Can abdominal hypropressive technique improve stress urinary incontinence? an assessor‐blinded randomized controlled trial	10.1002/nau.24489	http://dx.doi.org/10.1002/nau.24489	0733-2467	Neurourology and Urodynamics	Luciene A. Jose‐Vaz			2020	1686244013	0	0	0	0	1	0	1	0	1	0	142	1	FALSE	Luciene A. Jose‐Vaz, Carine L. Andrade, Laura C. Cardoso, Bruno T. Bernardes, Vanessa S. Pereira‐Baldon, Ana Paula M. Resende	0733-2467	11	4.5	0.683	A2
